id	corpus	sentence	token	complexity
3S37Y8CWI80N8KVM53U4E6JKCDC4WE	bible	but the seventh day is a Sabbath to Yahweh your God, in which you shall not do any work, you, nor your son, nor your daughter, nor your male servant, nor your female servant, nor your ox, nor your donkey, nor any of your livestock, nor your stranger who is within your gates; that your male servant and your female servant may rest as well as you.	seventh day	0.02777777777777779
3WGCNLZJKF877FYC1Q6COKNWTDWD11	bible	But let each man test his own work, and then he will take pride in himself and not in his neighbor.	own work	0.04999999999999999
3UOMW19E6D6WQ5TH2HDD74IVKTP5CB	bible	To him who by understanding made the heavens; for his loving kindness endures forever:	loving kindness	0.04999999999999999
36JW4WBR06KF9AXMUL4N476OMF8FHD	bible	Remember to me, my God, this also, and spare me according to the greatness of your loving kindness.	loving kindness	0.04999999999999999
3HRWUH63QU2FH9Q8R7MRNFC7JX2N5A	bible	Because your loving kindness is better than life, my lips shall praise you.	loving kindness	0.07500000000000001
3TRB893CSJAOULN5SWOTVFH69RC7G2	bible	To him who led his people through the wilderness; for his loving kindness endures forever:	loving kindness	0.18333333333333335
3JUDR1D0D6R8L9KDPGCAT2404YYQ2Z	bible	Yahweh takes pleasure in those who fear him, in those who hope in his loving kindness.	loving kindness	0.23333333333333334
3RHLQY6EDT4OZEVVO8PEMIUZ5X6D4E	bible	Jahath was the chief, and Zizah the second: but Jeush and Beriah didn't have many sons; therefore they became a fathers' house in one reckoning.	many sons	0.04999999999999999
32XN26MTXZJQY21MIO00TSCRXUS0L1	bible	You see and hear, that not at Ephesus alone, but almost throughout all Asia, this Paul has persuaded and turned away many people, saying that they are no gods, that are made with hands.	many people	0.04999999999999999
3T8DUCXY0N6WD9X4RTLK8UN1UB89TP	bible	Then all the children of Israel returned, every man to his possession, into their own cities.	own cities	0.05555555555555558
3WJGKMRWVI9RUI8AHNVW5G6NXANDCR	bible	So on the next day, when Agrippa and Bernice had come with great pomp, and they had entered into the place of hearing with the commanding officers and principal men of the city, at the command of Festus, Paul was brought in.	next day	0.07500000000000001
3P4ZBJFX2V3X60SBPKQN5AGB13KFWC	bible	It happened in the six hundred first year, in the first month, the first day of the month, the waters were dried up from the earth.	first month	0.07500000000000001
3YO4AH2FPDK1PZHZAT8WAEBL70F0QQ	bible	Consider her palaces, that you may tell it to the next generation.	next generation	0.07500000000000001
3ZXNP4Z39RL4GD163NL987ME58Y7L8	bible	Yahweh said to me, "Take a large tablet, and write on it with a man's pen, 'For Maher Shalal Hash Baz; '	large tablet	0.07500000000000001
3VMHWJRYHVGCV0X1ZPM97TUIA5QXFN	bible	Send them away, that they may go into the surrounding country and villages, and buy themselves bread, for they have nothing to eat."	surrounding country	0.08333333333333331
38VTL6WC4AD9T8UMY9V24VAENH6Y5B	bible	Yahweh said to Abraham, "Why did Sarah laugh, saying, 'Will I really bear a child, yet I am old?'	Sarah laugh	0.09999999999999998
3ODOP6T3ASK1W4XFRJ5XQZ3V86G42V	bible	I have spread my couch with carpets of tapestry, with striped cloths of the yarn of Egypt.	striped cloths	0.09999999999999998
38Z7YZ2SB32CWUYFEJX2GIBHTUVIQ2	bible	For they indeed, for a few days, punished us as seemed good to them; but he for our profit, that we may be partakers of his holiness.	few days	0.1111111111111111
3J5XXLQDHMBPBZCDFFKPIZ80R4D3VH	bible	He set the Levites in the house of Yahweh with cymbals, with stringed instruments, and with harps, according to the commandment of David, and of Gad the king's seer, and Nathan the prophet; for the commandment was of Yahweh by his prophets.	stringed instruments	0.1111111111111111
37Y5RYYI0P5LZ52N59M8ESDXZVKXS6	bible	They came to Jerusalem with stringed instruments and harps and trumpets to the house of Yahweh.	stringed instruments	0.18333333333333335
38RHULDV9YFHGRU1QSW887T3HVCIW6	bible	On stringed instruments.	stringed instruments	0.25
304QEQWKZPKY4N4JVGGSL9GLSZX0OI	bible	<<For the Chief Musician; on stringed instruments.	stringed instruments	0.2666666666666667
36QZ6V1589DTI18S04BLULET5D3SU9	bible	Ezra the priest, with certain heads of fathers' households, after their fathers' houses, and all of them by their names, were set apart; and they sat down in the first day of the tenth month to examine the matter.	first day	0.11666666666666664
36BTXXLZ2V8I0OE069KYR7B3KYX4RB	bible	He has filled them with wisdom of heart, to work all kinds of workmanship, of the engraver, of the skillful workman, and of the embroiderer, in blue, in purple, in scarlet, and in fine linen, and of the weaver, even of those who do any workmanship, and of those who make skillful works.	skillful works	0.125
3FI30CQHVKJ9Z41PT0RNOQQDY3Z6BK	bible	Then Saul took three thousand chosen men out of all Israel, and went to seek David and his men on the rocks of the wild goats.	wild goats	0.125
34F34TZU7WZRZMG0UQS1W1SEQ36J21	bible	Ostriches will dwell there, and wild goats will frolic there.	wild goats	0.22058823529411764
3SCKNODZ0XGU4D4RF01OLZQ3A3XN7P	bible	or a man who has an injured foot, or an injured hand,	injured foot	0.13333333333333336
