id	corpus	sentence	token	complexity
3ZLW647WALVGE8EBR50EGUBPU4P32A	bible	Behold, there came up out of the river seven cattle, sleek and fat, and they fed in the marsh grass.	river	0.0
34R0BODSP1ZBN3DVY8J8XSIY551E5C	bible	I am a fellow bondservant with you and with your brothers, the prophets, and with those who keep the words of this book.	brothers	0.0
3S1WOPCJFGTJU2SGNAN2Y213N6WJE3	bible	The man, the lord of the land, said to us, 'By this I will know that you are honest men: leave one of your brothers with me, and take grain for the famine of your houses, and go your way.	brothers	0.04999999999999999
3BFNCI9LYKQN09BHXHH9CLSX5KP738	bible	Shimei had sixteen sons and six daughters; but his brothers didn't have many children, neither did all their family multiply like the children of Judah.	brothers	0.15000000000000002
3G5RUKN2EC3YIWSKUXZ8ZVH95R49N2	bible	"He has put my brothers far from me.	brothers	0.26388888888888884
3ZRKL6Z1E83ADJ7XGZM4Q6D2W5IGSR	bible	Therefore I urge you, brothers, by the mercies of God, to present your bodies a living sacrifice, holy, acceptable to God, which is your spiritual service.	brothers	0.2647058823529411
3ZRKL6Z1E83ADJ7XGZM4Q6D2W3SSG9	bible	Rehoboam loved Maacah the daughter of Absalom above all his wives and his concubines: (for he took eighteen wives, and sixty concubines, and became the father of twenty-eight sons and sixty daughters.)	sons	0.0
34O39PNDK682LNZ9LOULZLH9UQDRB3	bible	Then they brought out the king's son, and put the crown on him, and gave him the testimony, and made him king: and Jehoiada and his sons anointed him; and they said, "Long live the king!"	sons	0.05555555555555558
3KTCJ4SCVG1AB94PEJ5F7AAQ2RNM1R	bible	Moreover Yahweh will deliver Israel also with you into the hand of the Philistines; and tomorrow you and your sons will be with me.	sons	0.1607142857142857
31J7RYECZLQQ5RM4E7407XV12K1L1O	bible	The sons of Perez: Hezron, and Hamul.	sons	0.1607142857142857
38DCH97KHH28R5ILW1I2SJQH69EQJG	bible	But to the sons of Kohath he gave none, because the service of the sanctuary belonged to them; they carried it on their shoulders.	sons	0.171875
3Q7TKIAPOTAKXM2GU0OV8ZWARH4LDE	bible	The days of our years are seventy, or even by reason of strength eighty years; yet their pride is but labor and sorrow, for it passes quickly, and we fly away.	days	0.0
3K3IX1W4S6RCQ0E22IQ0ZFXOBQZAPU	bible	Six days you shall gather it, but on the seventh day is the Sabbath.	days	0.18055555555555558
3511RHPADVEEYWLLC1JFDODE6I9RL4	bible	Seven days you shall eat unleavened bread, as I commanded you, at the time appointed in the month Abib; for in the month Abib you came out from Egypt.	days	0.25
33NKDW9FFXI5SODR8NW8ZN9FDQSXC2	bible	David said to Saul, "Your servant was keeping his father's sheep; and when a lion or a bear came, and took a lamb out of the flock,	lion	0.0
31J7RYECZLQQ5RM4E7407XV12MSL1J	bible	Your own sword has devoured your prophets, like a destroying lion.	lion	0.21875
3087LXLJ6MG4YARQWDX2YF770WSF0T	bible	For the waters of Dimon are full of blood; for I will bring yet more on Dimon, a lion on those of Moab who escape, and on the remnant of the land.	lion	0.28125
3MQKOF1EE2O08GEFYEVXHADQPORWD1	bible	The king's wrath is like the roaring of a lion, but his favor is like dew on the grass.	lion	0.3157894736842105
3TCFMTM8HEOK450W41MVS1WSWM721H	bible	Mount Sinai, all it, smoked, because Yahweh descended on it in fire; and its smoke ascended like the smoke of a furnace, and the whole mountain quaked greatly.	fire	0.0
3ZG552ORAM40QHGUBF6KZP38LOI2V6	bible	"They shall go forth, and look on the dead bodies of the men who have transgressed against me: for their worm shall not die, neither shall their fire be quenched; and they will be loathsome to all mankind."	fire	0.05555555555555558
3PKVGQTFIHKYYVSKVG857WFAFZPRYC	bible	and of them shall be taken up a curse by all the captives of Judah who are in Babylon, saying, Yahweh make you like Zedekiah and like Ahab, whom the king of Babylon roasted in the fire;	fire	0.125
3Y3CZJSZ9KT0W7I0KE38WZHHKUM5RB	bible	But for the cowardly, unbelieving, sinners, abominable, murderers, sexually immoral, sorcerers, idolaters, and all liars, their part is in the lake that burns with fire and sulfur, which is the second death."	fire	0.13333333333333336
3MNJFORX8B43THDRTJ3EFA3YH43F5E	bible	Yes, I will gather you, and blow on you with the fire of my wrath, and you shall be melted in its midst.	fire	0.3035714285714286
3P4C70TRMRHN96C7WQP3EKZ749KLGO	bible	He was despised, and rejected by men; a man of suffering, and acquainted with disease.	disease	0.125
