id	subcorpus	sentence	token	complexity
3QI9WAYOGQB8GQIR4MDIEF0D2RLS67	bible	They will not hurt nor destroy in all my holy mountain; for the earth will be full of the knowledge of Yahweh, as the waters cover the sea.	sea	0.0
3T8DUCXY0N6WD9X4RTLK8UN1U929TF	bible	that sends ambassadors by the sea, even in vessels of papyrus on the waters, saying, "Go, you swift messengers, to a nation tall and smooth, to a people awesome from their beginning onward, a nation that measures out and treads down, whose land the rivers divide!"	sea	0.10294117647058826
3I7KR83SNADXAQ7HXK7S7305BYB9KD	bible	and they entered into the boat, and were going over the sea to Capernaum.	sea	0.109375
3BO3NEOQM0HK9ERYPN0GQIWCPC4IAQ	bible	Joseph laid up grain as the sand of the sea, very much, until he stopped counting, for it was without number.	sea	0.1607142857142857
3Y3CZJSZ9KT0W7I0KE38WZHHKSW5RH	bible	There will be a highway for the remnant that is left of his people from Assyria, like there was for Israel in the day that he came up out of the land of Egypt.	land	0.0
3566S7OX5DJRQ6X2AD3QOSD072T712	bible	God said, "Let the waters under the sky be gathered together to one place, and let the dry land appear"; and it was so.	land	0.025000000000000022
3MJ28H2Y1E8XZUQKSMM424CC977O5Q	bible	Abimelech said, "Behold, my land is before you.	land	0.0892857142857143
3JMQI2OLFZ5ALM516D4ALR0ZWEVDN3	bible	It shall be on the day when you shall pass over the Jordan to the land which Yahweh your God gives you, that you shall set yourself up great stones, and plaster them with plaster:	land	0.140625
33J5JKFMK6YX6RGWTGQFCC9SACT3QI	bible	Our land will yield its increase.	land	0.19444444444444442
3VQTAXTYN3LU1FRQPIPQ4W4T1PBUB4	bible	He has cut off in fierce anger all the horn of Israel; He has drawn back his right hand from before the enemy: He has burned up Jacob like a flaming fire, which devours all around.	anger	0.04999999999999999
3MZ3TAMYTLNC8VDFRYM2L8LMPGXRIC	bible	Therefore the king was very angry, and his anger burned in him.	anger	0.11538461538461536
38G0E1M85M59ATPWUZGQ58Y04HXUVG	bible	Therefore I will make the heavens tremble, and the earth will be shaken out of its place in the wrath of Yahweh of Armies, and in the day of his fierce anger.	anger	0.13235294117647056
3LN50BUKPVBTMJ56Z9FQ8TDZ52YLPN	bible	When they heard this they were filled with anger, and cried out, saying, "Great is Artemis of the Ephesians!"	anger	0.140625
3MJ28H2Y1E8XZUQKSMM424CC95C5O8	bible	Therefore the anger of Yahweh was kindled against Amaziah, and he sent to him a prophet, who said to him, "Why have you sought after the gods of the people, which have not delivered their own people out of your hand?"	anger	0.25
3CMV9YRYP31X08284WA6BXRNW3XLJS	bible	He shall tear it by its wings, but shall not divide it apart.	wings	0.07500000000000001
3VAOOVPI3ZS3VYQ87HMJRC4F0SXLLP	bible	Don't curse the king, no, not in your thoughts; and don't curse the rich in your bedroom: for a bird of the sky may carry your voice, and that which has wings may tell the matter.	wings	0.1527777777777778
32204AGAABCLNATH55A5MS60NU7HGD	bible	How often I would have gathered your children together, even as a hen gathers her chicks under her wings, and you would not!	wings	0.22368421052631576
3511RHPADVEEYWLLC1JFDODE6KLLRE	bible	and they said to Moses, "Your servants have taken the sum of the men of war who are under our command, and there lacks not one man of us.	command	0.07500000000000001
3NRZ1LDP7W6DR8MAEA6ZG8OXKBBZPP	bible	He answered, "What did Moses command you?"	command	0.125
36D1BWBEHN1H0UMLXN5TCTKVUXW2MJ	bible	and give them a command to their masters, saying, Thus says Yahweh of Armies, the God of Israel, You shall tell your masters:	command	0.23214285714285715
3L1EFR8WWT5MU4F3W9GVRQ8032UF9H	bible	Your commandments are my delight.	delight	0.07500000000000001
3XD2A6FGFNUVY9KP2TGUYPRFSSTS9I	bible	The young man didn't wait to do this thing, because he had delight in Jacob's daughter, and he was honored above all the house of his father.	delight	0.25
351S7I5UG9WNO85TG9QLOPVC1W1NJW	bible	The king was grieved, but for the sake of his oaths, and of those who sat at the table with him, he commanded it to be given,	table	0.2361111111111111
3IH9TRB0FBZOFQEYT47NFH39LI41IR	bible	I returned, and saw under the sun, that the race is not to the swift, nor the battle to the strong, neither yet bread to the wise, nor yet riches to men of understanding, nor yet favor to men of skill; but time and chance happen to them all.	swift	0.09999999999999998
3ODOP6T3ASK1W4XFRJ5XQZ3V84B24K	bible	Then Solomon assembled the elders of Israel, and all the heads of the tribes, the princes of the fathers' households of the children of Israel, to king Solomon in Jerusalem, to bring up the ark of the covenant of Yahweh out of the city of David, which is Zion.	princes	0.10294117647058826
3E22YV8GG16JAJ8RBMV5LLHOAVXPNO	bible	All the princes of the provinces, the satraps, the governors, and those who did the king's business helped the Jews, because the fear of Mordecai had fallen on them.	princes	0.18333333333333335
3TRB893CSJAOULN5SWOTVFH69R6G75	bible	Yahweh showed me, and behold, two baskets of figs set before Yahweh's temple, after that Nebuchadnezzar king of Babylon had carried away captive Jeconiah the son of Jehoiakim, king of Judah, and the princes of Judah, with the craftsmen and smiths, from Jerusalem, and had brought them to Babylon.	princes	0.25
3B0MCRZMBRUJD4K4R18XPAMJAAYPPK	bible	"'You shall not cut the hair on the sides of your heads, neither shall you clip off the edge of your beard.	beard	0.10714285714285715
3FO95NVK5C0129GBWAGGPAR9YC3SR5	bible	When the king came to see him, Amnon said to the king, "Please let my sister Tamar come, and make me a couple of cakes in my sight, that I may eat from her hand."	cakes	0.1111111111111111
3V8JSVE8YYQ9PRNF9AO58PGR08SEYB	bible	Then Abigail hurried and took two hundred loaves of bread, two bottles of wine, five sheep ready dressed, five measures of parched grain, one hundred clusters of raisins, and two hundred cakes of figs, and laid them on donkeys.	cakes	0.28125
3IZVJEBJ6AK5H245ZE7QA8XGP6FZ6D	bible	In arrogance, the wicked hunt down the weak.	hunt	0.11538461538461536
35ZRNT9RUIYULF3GE3YBN7ESVBGO30	bible	He gathered to him the children of Ammon and Amalek; and he went and struck Israel, and they possessed the city of palm trees.	trees	0.125
3P4C70TRMRHN96C7WQP3EKZ74BBLGJ	bible	Then the trees of the forest will sing for joy before Yahweh, for he comes to judge the earth.	trees	0.22499999999999998
3UUIU9GZC55DCMVSO383WEIZ8FOT5H	bible	The armed men went before the priests who blew the trumpets, and the ark went after them.	priests	0.125
3JAOYN9IHL25ZQAUV5EJZ4GH0KF33F	bible	So the priests and the Levites sanctified themselves to bring up the ark of Yahweh, the God of Israel.	priests	0.25
3OYHVNTV5TY0HDBNZ9QA4TVU6VPOKU	bible	It was so, that when Joshua had spoken to the people, the seven priests bearing the seven trumpets of rams' horns before Yahweh advanced, and blew the trumpets; and the ark of the covenant of Yahweh followed them.	priests	0.25
3SSN80MU8CONBMPF00D6N6MNIZBXKP	bible	There was no Passover like that kept in Israel from the days of Samuel the prophet; neither did any of the kings of Israel keep such a Passover as Josiah kept, and the priests, and the Levites, and all Judah and Israel who were present, and the inhabitants of Jerusalem.	priests	0.265625
373L46LKP76MG2KQJWY5WXE873MJKH	bible	He was teaching daily in the temple, but the chief priests and the scribes and the leading men among the people sought to destroy him.	priests	0.3125
33NKDW9FFXI5SODR8NW8ZN9FDQGXCQ	bible	He entered into his room, and wept there.	room	0.125
3NZ1E5QA6Z1DG01BOHHIWKCD28JB54	bible	Now she had an ambush waiting in the inner room.	room	0.1527777777777778
3XUSYT70IT170QDU572CAF4MOLK0DF	bible	After him, Meshullam the son of Berechiah made repairs across from his room.	room	0.3157894736842105
371Q3BEXDH9A40226RATBDT87VIZS5	bible	If the axe is blunt, and one doesn't sharpen the edge, then he must use more strength; but skill brings success.	axe	0.13333333333333336
3IKDQS3DQE082TOW91W7WDM0PFPICS	bible	The house, when it was in building, was built of stone prepared at the quarry; and there was neither hammer nor axe nor any tool of iron heard in the house, while it was in building.	axe	0.25
3SCKNODZ0XGU4D4RF01OLZQ3A3S7N4	bible	and accuses her of shameful things, and brings up an evil name on her, and says, "I took this woman, and when I came near to her, I didn't find in her the tokens of virginity";	virginity	0.14285714285714285
3Z33IC0JC0MBQ11TWOLZ9CBMRUHV9G	bible	There was one Anna, a prophetess, the daughter of Phanuel, of the tribe of Asher (she was of a great age, having lived with a husband seven years from her virginity,	virginity	0.21666666666666667
3K3IX1W4S6RCQ0E22IQ0ZFXOBOMPAS	bible	Neither has she left her prostitution since [the days of] Egypt; for in her youth they lay with her, and they handled the bosom of her virginity; and they poured out their prostitution on her.	virginity	0.25
378G7J1SJLY50MSFU96HNSVBP0SEWC	bible	But if this thing be true, that the tokens of virginity were not found in the young lady;	virginity	0.3125
3XH7ZM9YX2UJXUKCN4GP8FMJ6O59R2	bible	"You therefore put your belt on your waist, arise, and speak to them all that I command you.	waist	0.14705882352941174
3X2YVV51PU46GLY3ILB2G8CH0TW1WS	bible	"Moreover you know also what Joab the son of Zeruiah did to me, even what he did to the two captains of the armies of Israel, to Abner the son of Ner, and to Amasa the son of Jether, whom he killed, and shed the blood of war in peace, and put the blood of war on his sash that was about his waist, and in his shoes that were on his feet.	waist	0.175
3WA2XVDZEMH767D93RTDPYWY10CE6S	bible	This I say for your own profit; not that I may ensnare you, but for that which is appropriate, and that you may attend to the Lord without distraction.	distraction	0.1607142857142857
3VGZ74AYTGGU62I1JDW4B19KA2XCGU	bible	In the day that he goes into the sanctuary, into the inner court, to minister in the sanctuary, he shall offer his sin offering, says the Lord Yahweh.	Lord	0.16666666666666669
3UXQ63NLAAMRIP4WG4XPD98AOYJLB2	bible	Now, Lord our God, who has brought your people forth out of the land of Egypt with a mighty hand, and have gotten yourself renown, as at this day; we have sinned, we have done wickedly.	Lord	0.21052631578947367
3ZCC2DXSD747VW469B0ZFS87IKXYYA	bible	You shall tell them, Thus says the Lord Yahweh: As I live, surely those who are in the waste places shall fall by the sword; and him who is in the open field will I give to the animals to be devoured; and those who are in the strongholds and in the caves shall die of the pestilence.	Lord	0.2142857142857143
3DWGDA5POF4T1WYYSB66U6T3TII1V2	bible	Remind them of these things, charging them in the sight of the Lord, that they don't argue about words, to no profit, to the subverting of those who hear.	Lord	0.2934782608695652
39O6Z4JLX2X1RXJRZ4RDPFX4YZ8XV5	bible	They shall recompense your lewdness on you, and you shall bear the sins of your idols; and you shall know that I am the Lord Yahweh.	Lord	0.3026315789473685
3909MD9T2ZH3P06K4KWHJ49BUZ9EFP	bible	for the destroyer has come on her, even on Babylon, and her mighty men are taken, their bows are broken in pieces; for Yahweh is a God of recompenses, he will surely requite.	bows	0.1764705882352941
3OID399FXG7YXUSK8PLXDMRQUL9FDU	bible	He gave their donkeys fodder.	donkeys	0.1764705882352941
3BDORL6HKKDLVSRFZOQGA5NRC9VRCO	bible	Moreover those who were near to them, as far as Issachar and Zebulun and Naphtali, brought bread on donkeys, and on camels, and on mules, and on oxen, food of meal, cakes of figs, and clusters of raisins, and wine, and oil, and cattle, and sheep in abundance: for there was joy in Israel.	donkeys	0.19444444444444442
36QZ6V1589DTI18S04BLULET5DXUS5	bible	In those days saw I in Judah some men treading winepresses on the Sabbath, and bringing in sheaves, and loading donkeys; as also wine, grapes, and figs, and all kinds of burdens, which they brought into Jerusalem on the Sabbath day: and I testified against them in the day in which they sold food.	donkeys	0.21052631578947367
3O0M2G5VC62CWOIECSKC0MB9ECL49I	bible	they also resorted to a ruse, and went and made as if they had been ambassadors, and took old sacks on their donkeys, and wineskins, old and torn and bound up,	donkeys	0.234375
3W0KKJIARR9XWLO7SS1E775URSYK84	bible	But when day had already come, Jesus stood on the beach, yet the disciples didn't know that it was Jesus.	beach	0.17857142857142855
3L21G7IH47WA5QT3XMTQ15XXBZK1YB	bible	a time to tear, and a time to sew; a time to keep silence, and a time to speak;	silence	0.31666666666666665
3XEIP58NL0NN0N7CMIDSZRFDFZXLZW	bible	He made loops of blue on the edge of the one curtain from the edge in the coupling.	loops	0.1842105263157895
3ZLW647WALVGE8EBR50EGUBPU6F324	bible	The loops were opposite one to another.	loops	0.35526315789473684
34R0BODSP1ZBN3DVY8J8XSIY55W5EY	bible	I hate them with perfect hatred.	hatred	0.19117647058823528
3OZ4VAIBEXF0WDE2I0CCY6PPN1ZJV9	bible	Oh how great is your goodness, which you have laid up for those who fear you, which you have worked for those who take refuge in you, before the sons of men!	goodness	0.19444444444444442
3YGE63DIN8X69WDLM27223T7V1Q0WO	bible	King Ahaz cut off the panels of the bases, and removed the basin from off them, and took down the sea from off the bronze oxen that were under it, and put it on a pavement of stone.	bronze	0.19736842105263158
3UZUVSO3P7V9VAY1Q70UEUTKR0REM2	bible	Eleazar the priest took the bronze censers, which those who were burnt had offered; and they beat them out for a covering of the altar,	bronze	0.3214285714285714
3ZFRE2BDQ9EI0HO101GGALA0MAEZX7	bible	I also will make the pile great.	pile	0.2
3CZH926SICETRK9VK30YS0CK596E47	bible	Set up a standard against the walls of Babylon, make the watch strong, set the watchmen, prepare the ambushes; for Yahweh has both purposed and done that which he spoke concerning the inhabitants of Babylon.	ambushes	0.2
37YYO3NWHDQHPQ2WHR0LLAO5CAACCP	bible	Now in the fifteenth year of the reign of Tiberius Caesar, Pontius Pilate being governor of Judea, and Herod being tetrarch of Galilee, and his brother Philip tetrarch of the region of Ituraea and Trachonitis, and Lysanias tetrarch of Abilene,	Philip	0.2
3EN4YVUOUCSS02JXIFDUMRMA3C1XJK	bible	For Herod had laid hold of John, and bound him, and put him in prison for the sake of Herodias, his brother Philip's wife.	Philip	0.25
3J94SKDEKIP6VXZV2D8ORA0D5R55DB	bible	Jesus said to him, "Have I been with you such a long time, and do you not know me, Philip?	Philip	0.2678571428571429
37SOB9Z0SSXMFU0J1BIJVQAY0663LT	bible	When they came up out of the water, the Spirit of the Lord caught Philip away, and the eunuch didn't see him any more, for he went on his way rejoicing.	Philip	0.36111111111111116
3ZZAYRN1I6RZKW1ATI425KIQPATTOM	bible	They also brought out all her relatives, and they set them outside of the camp of Israel.	relatives	0.203125
3IHWR4LC7DD6QQYJSPG2URQHZO4I8M	bible	"'None of you shall approach anyone who are his close relatives, to uncover their nakedness: I am Yahweh.	relatives	0.27941176470588236
3D5G8J4N5A4UAGA7UUQG0CCYL3KTVI	bible	It happened, when he began to reign, as soon as he sat on his throne, that he struck all the house of Baasha: he didn't leave him a single one who urinates on a wall, neither of his relatives, nor of his friends.	relatives	0.3214285714285714
3G9UA71JVVUYLND6029WSS9M1HB7JK	bible	Then Jonathan said to him, "Tomorrow is the new moon: and you will be missed, because your seat will be empty.	Tomorrow	0.20833333333333331
3MIVREZQVHY32PO3EMIETYQULYFQKG	bible	When we burned incense to the queen of the sky, and poured out drink offerings to her, did we make her cakes to worship her, and pour out drink offerings to her, without our husbands?	husbands	0.21250000000000002
3ODOP6T3ASK1W4XFRJ5XQZ3V84Z248	bible	But of the other apostles I saw no one, except James, the Lord's brother.	James	0.2142857142857143
3CMIQF80GNQW3A3ECIODJFLCK1V6QN	bible	and with every living creature that is with you: the birds, the livestock, and every animal of the earth with you, of all that go out of the ship, even every animal of the earth.	creature	0.21666666666666667
3AC6MFV69KILEROMVXYU7ZM6YKWHZX	bible	For indeed we are in danger of being accused concerning this day's riot, there being no cause.	riot	0.21875
3N7PQ0KLI5P89OQRKPVFIVKER953E6	bible	The voice of harpists, minstrels, flute players, and trumpeters will be heard no more at all in you.	players	0.22058823529411764
3N3WJQXELSQXUC40XB4ECG56UQG2LN	bible	Love and faithfulness keep the king safe.	faithfulness	0.22368421052631576
344M16OZKIFFDSJ128FUR9IKWQWNE6	bible	I will also praise you with the harp for your faithfulness, my God.	faithfulness	0.23333333333333334
39RRBHZ0AU1QWSJ60MFYM0DF6X6ZV0	bible	Yahweh will render to every man his righteousness and his faithfulness; because Yahweh delivered you into my hand today, and I wouldn't put forth my hand against Yahweh's anointed.	faithfulness	0.25
3W5PY7V3UP7H0797NBZW55TJ5IVJYC	bible	I have declared your faithfulness and your salvation.	faithfulness	0.2647058823529411
3L1EFR8WWT5MU4F3W9GVRQ8030MF95	bible	Yahweh's faithfulness endures forever.	faithfulness	0.34090909090909094
3L2OEKSTW9ASGQDOW725GFK5P5BY8D	bible	It happened on the way at a lodging place, that Yahweh met Moses and wanted to kill him.	lodging	0.22499999999999998
3PMR2DOWOO1TV1G2927VO667SG254S	bible	As one of them opened his sack to give his donkey food in the lodging place, he saw his money.	lodging	0.25
3JHB4BPSFK9JLT5CAPRP3PCEA2V9QT	bible	David said to Saul, "Your servant was keeping his father's sheep; and when a lion or a bear came, and took a lamb out of the flock,	bear	0.23076923076923078
35U0MRQMUJ7EXO5ZYD4H626BMV3VOY	bible	He brought me into the inner court toward the east: and he measured the gate according to these measures;	court	0.234375
3MNJFORX8B43THDRTJ3EFA3YH4B5FC	bible	"For I tell you, among those who are born of women there is not a greater prophet than John the Baptizer, yet he who is least in the Kingdom of God is greater than he."	John	0.25
3IKMEYR0LWVMA6MICBSDXGSR5S6K21	bible	If an unrighteous witness rise up against any man to testify against him of wrongdoing,	wrongdoing	0.234375
3HRWUH63QU2FH9Q8R7MRNFC7JXX5NN	bible	therefore, behold, I will deliver you to the children of the east for a possession, and they shall set their encampments in you, and make their dwellings in you; they shall eat your fruit, and they shall drink your milk.	dwellings	0.2375
3QREJ3J433XSBS8QMHAICCR0BSXLKR	bible	You shall not eat any blood, whether it is of bird or of animal, in any of your dwellings.	dwellings	0.25
3KTCJ4SCVG1AB94PEJ5F7AAQ2PB1MQ	bible	This is a statute forever throughout your generations in all your dwellings.	dwellings	0.3125
38O9DZ0A62NFBR1TA7YCNXN94XH62D	bible	"'These things shall be for a statute and ordinance to you throughout your generations in all your dwellings.	dwellings	0.34375
3PIOQ99R7YMW2OGNS8UZVR4NICPUNP	bible	They didn't see one another, neither did anyone rise from his place for three days; but all the children of Israel had light in their dwellings.	dwellings	0.3529411764705882
34YWR3PJ28ALYWIBW73O4M7E431X0J	bible	Remember his marvelous works that he has done; his wonders, and the judgments of his mouth,	judgments	0.25
3AFT28WXLF29BILZZ65YRDGHER0OIJ	bible	I will make Pathros desolate, and will set a fire in Zoan, and will execute judgments on No.	judgments	0.2833333333333333
3QXFBUZ4ZKGQSWZ154H457VQH23GU7	bible	Therefore tell the children of Israel, 'I am Yahweh, and I will bring you out from under the burdens of the Egyptians, and I will rid you out of their bondage, and I will redeem you with an outstretched arm, and with great judgments:	judgments	0.375
3YD0MU1NC21NKUA26WWJZT63BUHA77	bible	It will happen in the day of Yahweh's sacrifice, that I will punish the princes, the king's sons, and all those who are clothed with foreign clothing.	sacrifice	0.25
3XJOUITW8UR258EQ8VW6UPDQ49YTQD	bible	You shall eat it as barley cakes, and you shall bake it in their sight with dung that comes out of man.	dung	0.25
3JVP4ZJHDPSO81TGXL3N1CKZGQSI0Z	bible	The second angel sounded, and something like a great burning mountain was thrown into the sea.	burning	0.25
3S8A4GJRD33O8IZVYHINP2KK1TXV6T	bible	I am a brother to jackals, and a companion to ostriches.	companion	0.25
3PR3LXCWSFZ3UQ6OW3MHXX8777PX9P	bible	However, knowing this, Jesus said to them, "Why do you trouble the woman?	trouble	0.26136363636363635
31YWE12TE0CZG7IVH6OXJ1H1CFC7XU	bible	So they were shut up to the day of their death, living in widowhood.	widowhood	0.26388888888888884
